Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2805780412,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,1,Ask,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:10:48 +01:00,,,,70865.000000000,Opening,Trader,,,
2805780423,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:21 +01:00,,4672.600000000,,Undetermined,Trader,Cancelled by trader,,
2805780437,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:12 +01:00,,105.460000000,,Undetermined,Trader,Cancelled by trader,,
2805780427,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:10:48 +01:00,,,,1.170400000,Opening,Trader,,,
2805780419,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:10:48 +01:00,,,,4676.200000000,Opening,Trader,,,
2805780422,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:21 +01:00,4707.700000000,,,Undetermined,Trader,Cancelled by trader,,
2805780429,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:43 +01:00,1.172900000,,,Undetermined,Trader,Cancelled by trader,,
2805780430,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:43 +01:00,,1.165400000,,Undetermined,Trader,Cancelled by trader,,
2805780435,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:10:48 +01:00,,,,104.930000000,Opening,Trader,,,
2805780436,PRAC-V2-315185-26809886,MCLK6,Cancelled,Stop,1,Ask,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:12 +01:00,103.310000000,,,Undetermined,Trader,Cancelled by trader,,
2805787398,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:21 +01:00,,4672.600000000,,Undetermined,Trader,Cancelled by trader,,
2805780415,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Limit,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:31 +01:00,,70465.000000000,,Undetermined,Trader,Cancelled by trader,,
2805780413,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Stop,1,Bid,04/13/2026 00:10:48 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:31 +01:00,71330.000000000,,,Undetermined,Trader,Cancelled by trader,,
2805787422,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:43 +01:00,1.172900000,,,Undetermined,Trader,Cancelled by trader,,
2805787421,PRAC-V2-315185-26809886,M6EM6,Filled,Market,1,Ask,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:12:17 +01:00,,,,1.170500000,Opening,Trader,,,
2805787425,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:12:17 +01:00,,,,104.850000000,Opening,Trader,,,
2805787402,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,1,Ask,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:12:17 +01:00,,,,70820.000000000,Opening,Trader,,,
2805787396,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:12:17 +01:00,,,,4677.500000000,Opening,Trader,,,
2805787426,PRAC-V2-315185-26809886,MCLK6,Cancelled,Stop,1,Ask,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:12 +01:00,103.310000000,,,Undetermined,Trader,Cancelled by trader,,
2805787427,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:13 +01:00,,105.460000000,,Undetermined,Trader,Cancelled by trader,,
2805787397,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:21 +01:00,4707.700000000,,,Undetermined,Trader,Cancelled by trader,,
2805787404,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Stop,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:31 +01:00,71330.000000000,,,Undetermined,Trader,Cancelled by trader,,
2805787405,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Limit,1,Bid,04/13/2026 00:12:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:32 +01:00,,70465.000000000,,Undetermined,Trader,Cancelled by trader,,
2805792945,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,1,Ask,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:13:47 +01:00,,,,70725.000000000,Opening,Trader,,,
2805792946,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Stop,1,Bid,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:32 +01:00,71330.000000000,,,Undetermined,Trader,Cancelled by trader,,
2805792941,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:13:47 +01:00,,,,4679.500000000,Opening,Trader,,,
2805792942,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:21 +01:00,4707.700000000,,,Undetermined,Trader,Cancelled by trader,,
2805792943,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:21 +01:00,,4672.600000000,,Undetermined,Trader,Cancelled by trader,,
2805792947,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Limit,1,Bid,04/13/2026 00:13:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 00:17:32 +01:00,,70465.000000000,,Undetermined,Trader,Cancelled by trader,,
